acc,taxid,organism,clade,taxon,slen
MK775229.1,1935457,"Tsunamia transpacifica isolate 610 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1407
KT373794.1,508042,"Ochtodes secundiramea voucher IDO500 ribulose-1,5-bisphospate carboxylase/oxygenase (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1427
KT373793.1,508042,"Ochtodes secundiramea voucher IDO501 ribulose-1,5-bisphospate carboxylase/oxygenase (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1427
KT373792.1,508042,"Ochtodes secundiramea voucher ENCB 20663 ribulose-1,5-bisphospate carboxylase/oxygenase (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1427
KT373791.1,1889916,"Ochtodes maguachaveziae voucher ENCB 20662 ribulose-1,5-bisphospate carboxylase/oxygenase (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1427
KT373790.1,1889916,"Ochtodes maguachaveziae voucher ENCB 20661 ribulose-1,5-bisphospate carboxylase/oxygenase (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1427
KT373789.1,1889915,"Ochtodes akumalensis voucher ENCB 20660 ribulose-1,5-bisphospate carboxylase/oxygenase (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1427
KT373788.1,1889915,"Ochtodes akumalensis voucher ENCB 20659 ribulose-1,5-bisphospate carboxylase/oxygenase (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1427
MK567540.1,1883120,"Crusticorallina adhaerens voucher PTM1119 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
MH349426.1,1550622,"Acrosorium ciliolatum voucher JN151108-R5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH349425.1,1550622,"Acrosorium ciliolatum voucher JN130927-20 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH349424.1,2586746,"Cryptopleura sp. voucher PC280917025 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH349423.1,2586746,"Cryptopleura sp. voucher PC280917024 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH349422.1,2586746,"Cryptopleura sp. voucher PC280917023 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH349421.1,1550622,"Acrosorium ciliolatum voucher PC280917022 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH349420.1,1550622,"Acrosorium ciliolatum voucher PC280917021 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH349419.1,1550622,"Acrosorium ciliolatum voucher PC280917020 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH349418.1,1550622,"Acrosorium ciliolatum voucher PC280917019 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH349417.1,1550622,"Acrosorium ciliolatum voucher PC280917018 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,Rhodophyta,1429
MH751480.1,2585824,"Nesoia pulchella voucher MSK150524-16 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1422
MK239148.1,83374,"Galdieria partita voucher THAL043 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Red algae,Rhodophyta,1482
MH230137.1,2219898,"Streblocladia rhododactyla isolate MS209 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1462
MH230136.1,2219898,"Streblocladia rhododactyla isolate MS155 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1466
MH230135.1,2219898,"Streblocladia rhododactyla isolate MS102 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1467
MH230133.1,2219898,"Streblocladia rhododactyla isolate MS12 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1467
MH230132.1,1967891,"Streblocladia glomerulata isolate ASR172 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1464
MH230130.1,2219898,"Streblocladia rhododactyla isolate ASO048 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
MK614693.1,2070215,"Calliblepharis saidana voucher SP470445 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1407
MK614692.1,2572324,"Calliblepharis jolyi voucher SP470444 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1463
MK614691.1,2572324,"Calliblepharis jolyi voucher SP470443 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1463
MK614690.1,2572324,"Calliblepharis jolyi voucher SP470442 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1463
MK614689.1,2572324,"Calliblepharis jolyi voucher SP470441 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1463
MK614688.1,2572324,"Calliblepharis jolyi voucher SP470440 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1463
MK614687.1,2572324,"Calliblepharis jolyi voucher SP470439 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1463
MK086033.1,2572323,"Rhodachlya sp. voucher SP469735 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; plastid",Red algae,Rhodophyta,1456
MK086032.1,2572323,"Rhodachlya sp. voucher SP469734 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; plastid",Red algae,Rhodophyta,1456
MK426627.1,196893,"Spyridia clavata voucher SP470440 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1472
MK426626.1,196893,"Spyridia clavata voucher SP470439 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1472
MH884605.1,753684,"Madagascaria erythrocladioides isolate 14A ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1451
MH884604.1,753684,"Madagascaria erythrocladioides isolate 13B1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1476
MH884603.1,2316382,"Spyridiocolax capixaba voucher SP470213 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1500
MH884602.1,196893,"Spyridia clavata voucher SP470212 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; and rbcL-rbcS intergenic spacer, partial sequence; chloroplast",Red algae,Rhodophyta,1500
L22459.1,2569582,"Gelidium carolinianum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Red algae,Rhodophyta,1467
KU958483.1,397016,"Melanothamnus yendoi isolate CUK9706 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1440
KU958482.1,1231895,"Melanothamnus peruviensis isolate CUK6454 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1440
KM369164.2,2492706,"Corallinales sp. ZA_Twist-2019 isolate NZC2115 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1436
KM369136.2,2492729,"Hapalidiales sp. A_Twist-2019 isolate NZC2090 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
MG887905.1,102628,"Pterocladiella caerulescens voucher CNU061975 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887904.1,2492672,"Aphanta ligulata voucher PERTH 08775559 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887903.1,2492671,"Millerella corallophila voucher PERTH 08775737 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887902.1,2492670,"Gelidiella damseliana voucher CNU061976 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887901.1,28867,"Gelidiella acerosa voucher 13.7.15.1.1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887900.1,2492673,"Ptilophora wilsonii voucher PERTH 08876983 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887899.1,2492673,"Ptilophora wilsonii voucher PERTH 08877289 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887898.1,143014,"Ptilophora prolifera voucher 27.5.12.2.5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887897.1,143014,"Ptilophora prolifera voucher PERTH 08814171 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887896.1,1357443,"Gelidium johnstonii voucher 7.7.15.1.1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1425
MG887882.1,2492669,"Tricleocarpa australiensis voucher PERTH 08775370 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
MG887881.1,2492668,"Tricleocarpa fastigiata voucher PERTH 09781745A ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
MG887880.1,2492668,"Tricleocarpa fastigiata voucher PERTH 08781605 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
MG887879.1,2492667,"Galaxaura elongata voucher 6.2.14.2.9 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
MG887878.1,242860,"Galaxaura pacifica voucher PERTH 08781613A ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
MG887877.1,2492666,"Galaxaura indica voucher PERTH 08775524 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
MG887876.1,268568,"Dichotomaria obtusata voucher PERTH 08904227 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
MG887875.1,2492664,"Dichotomaria sibogae voucher PERTH 08781559 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
MG887874.1,2492663,"Actinotrichia coccinea voucher PERTH 08781737 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1404
KU756120.1,196893,"Spyridia clavata isolate 00765 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756119.1,196893,"Spyridia clavata isolate 01420 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756117.1,1974219,"Spyridia plumosa isolate TC2773 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1410
KU756116.1,314490,"Spyridia cupressina isolate TC2762 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756115.1,314490,"Spyridia cupressina isolate TC2740 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756114.1,314490,"Spyridia cupressina isolate 328 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756113.1,314490,"Spyridia cupressina isolate 290 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1457
KU756112.1,314491,"Spyridia horridula isolate TC2875 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756111.1,314491,"Spyridia horridula isolate TC2867 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756110.1,314491,"Spyridia horridula isolate TC2819 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756109.1,1974218,"Spyridia aculeata isolate TS915 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1454
KU756108.1,1974218,"Spyridia aculeata isolate b49 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756107.1,1974218,"Spyridia aculeata isolate b35 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756106.1,1974218,"Spyridia aculeata isolate B8 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756105.1,1974218,"Spyridia aculeata isolate b7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756104.1,31385,"Spyridia hypnoides isolate R92 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756103.1,31385,"Spyridia hypnoides isolate TC13952 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1445
KU756102.1,31385,"Spyridia hypnoides isolate TC13960 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1426
KU756101.1,31385,"Spyridia hypnoides isolate TC2836 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756100.1,31385,"Spyridia hypnoides isolate TC2800 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756099.1,31385,"Spyridia hypnoides isolate TC2772 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
KU756098.1,31385,"Spyridia hypnoides isolate TC2724 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1458
MH704452.1,1955333,"Laurencia sp. voucher SP399934 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1448
MH704451.1,1955333,"Laurencia sp. voucher SP365433 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1448
MH704450.1,1955333,"Laurencia sp. voucher ALCB114309 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1448
MH704449.1,110462,"Laurencia filiformis voucher SP469720 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1448
MH760425.1,2510778,"Gracilaria tenuistipitata voucher LAF-723 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1435
MH760424.1,2510791,"Gracilaria firma voucher LAF-736 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1450
MH760423.1,2510791,"Gracilaria firma voucher LAF-734 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1450
MH760422.1,2510778,"Gracilaria tenuistipitata voucher LAF-722 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1450
MH760421.1,2510778,"Gracilaria tenuistipitata voucher LAF-719 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1450
MH760420.1,2510778,"Gracilaria tenuistipitata voucher LAF-739 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1450
MH760419.1,2510777,"Agarophyton chilense ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1427
MG948349.1,39836,"Eucheumatopsis isiformis voucher UAMIZ-1306 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1401
MG948348.1,39836,"Eucheumatopsis isiformis voucher UAMIZ-1305 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1401
MG948347.1,39836,"Eucheumatopsis isiformis voucher UAMIZ-1304 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1401
MG948346.1,39836,"Eucheumatopsis isiformis voucher UAMIZ-1303 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1401
MG948345.1,39836,"Eucheumatopsis isiformis voucher UAMIZ-1301 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1401
MG948344.1,39836,"Eucheumatopsis isiformis voucher UAMIZ-1165 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1401
MG948343.1,39836,"Eucheumatopsis isiformis voucher UAMIZ-1134 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1401
MG948342.1,39836,"Eucheumatopsis isiformis voucher UAMIZ-980 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1401
MH204657.1,2007182,"Alsidium seaforthii voucher FK008 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1401
MH204653.1,2007182,"Alsidium seaforthii voucher G001 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1414
MH251737.1,326253,"Carpoblepharis flaccida voucher CUK14372 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1443
MH200861.1,2500830,"Melanothamnus sp. strain OShj0705-19 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1464
MH200860.1,2500830,"Melanothamnus sp. strain OShj0705-18 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1471
MH200859.1,2500830,"Melanothamnus sp. strain OShj0705-17 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1470
MH200858.1,2500830,"Melanothamnus sp. strain OShj0705-15 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1471
MH200857.1,2500830,"Melanothamnus sp. strain OShj0705-13 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1471
MH200856.1,2500830,"Melanothamnus sp. strain OShj0705-10 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1474
MH200854.1,2500830,"Melanothamnus sp. strain OShj0705-7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1474
MH200853.1,2500830,"Melanothamnus sp. strain OShj0705-5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1471
MH200852.1,2500830,"Melanothamnus sp. strain OShj0705-3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1471
MH200851.1,2500830,"Melanothamnus sp. strain OShj0705-2 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1476
MH200849.1,2500830,"Melanothamnus sp. strain OShj0609-12 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1471
MH200826.1,2071693,"Spongites sp. strain OSsj0609-24 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1422
MH200825.1,2500829,"Campylaephora sp. strain OSsj0609-7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,Rhodophyta,1412
KM369158.1,2492764,"Pneophyllum sp. J_Twist-2019 isolate NZC0686 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369157.1,2492696,"Corallinales sp. N_Twist-2019 isolate NZC0777 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369156.1,2492698,"Corallinales sp. P_Twist-2019 isolate NZC0090 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369154.1,2492690,"Corallinales sp. C_Twist-2019 isolate NZC2547 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1441
KM369150.1,1141737,"Corallina caespitosa isolate NZC2113 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1440
KM369149.1,1141737,"Corallina caespitosa isolate NZC2496 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1442
KM369148.1,1141737,"Corallina caespitosa isolate NZC2293 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1441
KM369147.1,1141737,"Corallina caespitosa isolate ASD200 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369146.1,1141737,"Corallina caespitosa isolate ASD026 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369145.1,1141737,"Corallina caespitosa isolate GS08 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369139.1,2492686,"Arthrocardia sp. C_Twist-2019 isolate ASE107 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369138.1,2492684,"Arthrocardia sp. A_Twist-2019 isolate NZC2539 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1439
KM369137.1,2492685,"Arthrocardia sp. B_Twist-2019 isolate NZC2598 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369135.1,2492742,"Hapalidiales sp. YA_Twist-2019 isolate NZC0747 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369133.1,2492753,"Hapalidiales sp. ZT_Twist-2019 isolate NZC2501 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369132.1,2492748,"Hapalidiales sp. Z_Twist-2019 isolate NZC0899 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1443
KM369130.1,2492755,"Hapalidiales sp. ZZ_Twist-2019 isolate NZC2162 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1439
KM369129.1,2492755,"Hapalidiales sp. ZZ_Twist-2019 isolate NZC2051 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",Red algae,Rhodophyta,1442
